REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-04,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1199.4,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1121.6,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1082.3,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1230.6,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1320.6,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1026,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1024.3,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1109.3,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1041.9,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1178.7,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1186.2,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1651.8,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,2503.9,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,2666.9,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,2406.6,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,2293.3,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,2282.2,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1710.1,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1657.4,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1618.9,,,,1
2020-12,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1612.7,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1945.3,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1720.4,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1631.7,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1688.6,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1706.7,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1526,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1602.9,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1647.6,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1300.4,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1232.3,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,15 years and over,Persons,249,thousands,3,v2091135,1.6.1.1,1145.6,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,291.6,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,349.8,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,338.6,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,394.8,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,376.7,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,320.9,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,294.5,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,301.3,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,252.4,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,285.5,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,287.1,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,444.4,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,616.5,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,834.7,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,833.7,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,779.6,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,719.9,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,528.6,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,494.3,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,451,,,,1
2020-12,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,413.3,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,509.3,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,445.9,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,392.5,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,431.2,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,522,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,426,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,413.7,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,368.6,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,318.7,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,264.2,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,15 to 24 years,Persons,249,thousands,3,v2091136,1.6.1.2,267.4,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,907.9,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,771.7,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,743.7,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,835.8,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,943.9,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,705,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,729.8,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,808,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,789.5,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,893.2,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,899.1,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1207.4,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1887.4,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1832.2,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1572.9,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1513.7,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1562.3,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1181.4,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1163.1,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1167.8,,,,1
2020-12,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1199.4,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1435.9,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1274.5,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1239.1,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1257.4,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1184.7,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1100,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1189.1,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,1279,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,981.7,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,968.1,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,25 years and over,Persons,249,thousands,3,v2091137,1.6.1.3,878.2,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,471.2,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,408.4,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,419,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,469.1,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,510.5,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,387.5,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,391.2,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,441.6,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,418.9,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,485.9,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,472.2,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,662.9,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,1026.2,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,1062.2,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,885.7,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,842.4,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,840.7,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,624.3,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,626.5,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,630.3,,,,1
2020-12,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,618,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,755.3,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,645.8,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,634.6,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,630.6,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,593.5,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,554.1,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,602.9,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,646.9,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,501.6,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,478,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,25 to 44 years,Persons,249,thousands,3,v2091138,1.6.1.4,421.6,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,393.5,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,321.4,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,291.4,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,331.5,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,397.7,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,289.4,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,312.4,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,330.8,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,332.3,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,360.5,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,378.9,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,485.8,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,780.7,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,692.8,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,613.2,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,597.9,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,644.2,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,486,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,476.7,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,465.5,,,,1
