"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1199.4","","","","1"
"2019-05","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1121.6","","","","1"
"2019-06","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1082.3","","","","1"
"2019-07","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1230.6","","","","1"
"2019-08","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1320.6","","","","1"
"2019-09","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1026.0","","","","1"
"2019-10","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1024.3","","","","1"
"2019-11","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1109.3","","","","1"
"2019-12","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1041.9","","","","1"
"2020-01","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1178.7","","","","1"
"2020-02","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1186.2","","","","1"
"2020-03","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","1651.8","","","","1"
"2020-04","Canada","2016A000011124","Unemployment","Total, all education levels","Both sexes","15 years and over","Persons","249","thousands","3","v2627974","1.6.1.1.1","2503.9","","","","1"
